Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
9326,3.0,1,1,1
93380,3.0,1,1,1
9388,3.0,1,1,1
91461,3.0,1,1,1
92105,3.0,1,1,1
9325,3.0,1,1,1
90850,3.0,1,1,1
9107,3.0,1,1,1
9113,3.0,1,1,1
91272,3.0,1,1,1
904,3.0,1,1,1
112942,3.0,1,1,1
112950,3.0,1,1,1
11346,3.0,1,1,1
11201,3.0,1,1,1
11215,3.0,1,1,1
112464,3.0,1,1,1
112574,3.0,1,1,1
112752,3.0,1,1,1
11056,3.0,1,1,1
11117,3.0,1,1,1
11135,3.0,1,1,1
11143,3.0,1,1,1
11155,3.0,1,1,1
11170,3.0,1,1,1
10602,3.0,1,1,1
10653,3.0,1,1,1
11030,3.0,1,1,1
8751,3.0,1,1,1
8766,3.0,1,1,1
8772,3.0,1,1,1
8805,3.0,1,1,1
8861,3.0,1,1,1
8553,3.0,1,1,1
858,3.0,1,1,1
8658,3.0,1,1,1
8660,3.0,1,1,1
85302,3.0,1,1,1
85395,3.0,1,1,1
85456,3.0,1,1,1
84909,3.0,1,1,1
84946,3.0,1,1,1
127435,3.0,1,1,1
127733,3.0,1,1,1
129685,3.0,1,1,1
124790,3.0,1,1,1
124944,3.0,1,1,1
126374,3.0,1,1,1
1265,3.0,1,1,1
122060,3.0,1,1,1
114990,3.0,1,1,1
115939,3.0,1,1,1
1163,3.0,1,1,1
1164,3.0,1,1,1
116840,3.0,1,1,1
84524,3.0,1,1,1
84629,3.0,1,1,1
84722,3.0,1,1,1
84294,3.0,1,1,1
84298,3.0,1,1,1
84335,3.0,1,1,1
84337,3.0,1,1,1
84441,3.0,1,1,1
84140,3.0,1,1,1
8425,3.0,1,1,1
83860,3.0,1,1,1
84079,3.0,1,1,1
84080,3.0,1,1,1
1475,3.0,1,1,1
147700,3.0,1,1,1
148170,3.0,1,1,1
144108,3.0,1,1,1
1453,3.0,1,1,1
1454,3.0,1,1,1
145864,3.0,1,1,1
1389,3.0,1,1,1
1307,3.0,1,1,1
1311,3.0,1,1,1
131377,3.0,1,1,1
136227,3.0,1,1,1
136332,3.0,1,1,1
83648,3.0,1,1,1
83692,3.0,1,1,1
819,3.0,1,1,1
83444,3.0,1,1,1
81555,3.0,1,1,1
81565,3.0,1,1,1
81849,3.0,1,1,1
80310,3.0,1,1,1
80789,3.0,1,1,1
81550,3.0,1,1,1
79884,3.0,1,1,1
80012,3.0,1,1,1
80097,3.0,1,1,1
80254,3.0,1,1,1
79608,3.0,1,1,1
79778,3.0,1,1,1
79834,3.0,1,1,1
79848,3.0,1,1,1
79058,3.0,1,1,1
79155,3.0,1,1,1
79365,3.0,1,1,1
7802,3.0,1,1,1
7903,3.0,1,1,1
79035,3.0,1,1,1
