Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
Q9Y4Y9,EP,LSM5,EP_F1,EP,EP,1,874.741455078125
P56557,EP,TMEM50B,EP_F1,EP,EP,1,1341.149658203125
P56557,EP,TMEM50B,EP_F2,EP,EP,2,34490.8125
P56557,EP,TMEM50B,EP_F3,EP,EP,3,2595.18603515625
P51159,EP,RAB27A,EP_F2,EP,EP,2,5652.76416015625
Q9BUN8,EP,DERL1,EP_F1,EP,EP,1,8332.349609375
O95807,EP,TMEM50A,EP_F1,EP,EP,1,11260.3427734375
O95807,EP,TMEM50A,EP_F2,EP,EP,2,3363.5888671875
Q96CD0,EP,FBXL8,EP_F3,EP,EP,3,766.35992431640625
Q96CD0,EP,FBXL8,EP_F4,EP,EP,4,2741.590576171875
Q96CD0,EP,FBXL8,EP_F2,EP,EP,2,797.76947021484375
Q9UKK6,EP,NXT1,EP_F1,EP,EP,1,3666.767578125
Q9UKK6,EP,NXT1,EP_F4,EP,EP,4,3611.121826171875
Q86TM6,EP,SYVN1,EP_F2,EP,EP,2,9244.9423828125
Q86TM6,EP,SYVN1,EP_F3,EP,EP,3,1918.78125
Q709F0,EP,ACAD11,EP_F3,EP,EP,3,6599.7939453125
Q709F0,EP,ACAD11,EP_F1,EP,EP,1,4796.423828125
Q709F0,EP,ACAD11,EP_F4,EP,EP,4,7607.62158203125
Q709F0,EP,ACAD11,EP_F2,EP,EP,2,7831.8759765625
O94832,EP,MYO1D,EP_F1,EP,EP,1,2835.998291015625
Q9Y6H3,EP,ATP23,EP_F1,EP,EP,1,5083.732421875
Q9Y6H3,EP,ATP23,EP_F2,EP,EP,2,3916.641845703125
O14521,EP,SDHD,EP_F1,EP,EP,1,1153.8212890625
O14521,EP,SDHD,EP_F3,EP,EP,3,2306.638671875
O14521,EP,SDHD,EP_F4,EP,EP,4,3118.522216796875
Q15125,EP,EBP,EP_F3,EP,EP,3,9206.4716796875
Q9HCI7,EP,MSL2,EP_F3,EP,EP,3,13626.3251953125
Q9HCI7,EP,MSL2,EP_F4,EP,EP,4,4536.57275390625
Q9NRA2,EP,SLC17A5,EP_F2,EP,EP,2,4989.548828125
Q68DH5,EP,LMBRD2,EP_F1,EP,EP,1,6757.5224609375
Q68DH5,EP,LMBRD2,EP_F2,EP,EP,2,4479.0166015625
P03915,EP,MT-ND5,EP_F1,EP,EP,1,2679.477294921875
P03915,EP,MT-ND5,EP_F2,EP,EP,2,4910.1904296875
Q96BI3,EP,APH1A,EP_F1,EP,EP,1,3448.64892578125
Q149N8,EP,SHPRH,EP_F2,EP,EP,2,4769.60791015625
Q149N8,EP,SHPRH,EP_F3,EP,EP,3,6238.09228515625
O75027,EP,ABCB7,EP_F3,EP,EP,3,17853.9765625
O75027,EP,ABCB7,EP_F4,EP,EP,4,7008.4931640625
O75027,EP,ABCB7,EP_F1,EP,EP,1,7896.41845703125
O75027,EP,ABCB7,EP_F2,EP,EP,2,7726.5166015625
Q5VST9,EP,OBSCN,EP_F2,EP,EP,2,7184.91845703125
Q5VST9,EP,OBSCN,EP_F3,EP,EP,3,5307.9951171875
P49638,EP,TTPA,EP_F2,EP,EP,2,5929.3994140625
O76075,EP,DFFB,EP_F3,EP,EP,3,4735.84228515625
Q9H5N1,EP,RABEP2,EP_F2,EP,EP,2,6390.9609375
Q05655,EP,PRKCD,EP_F1,EP,EP,1,8693.1474609375
Q05655,EP,PRKCD,EP_F2,EP,EP,2,7835.0791015625
Q05655,EP,PRKCD,EP_F3,EP,EP,3,7484.8369140625
Q6UB35,EP,MTHFD1L,EP_F3,EP,EP,3,5905.98681640625
Q6UB35,EP,MTHFD1L,EP_F4,EP,EP,4,1958.0699462890625
Q6UB35,EP,MTHFD1L,EP_F1,EP,EP,1,5899.0224609375
Q6UB35,EP,MTHFD1L,EP_F2,EP,EP,2,3309.08154296875
P20226,EP,TBP,EP_F1,EP,EP,1,3124.22705078125
O43824,EP,GTPBP6,EP_F2,EP,EP,2,2805.535888671875
O43824,EP,GTPBP6,EP_F3,EP,EP,3,3479.744384765625
O43824,EP,GTPBP6,EP_F1,EP,EP,1,4532.5712890625
Q86XE3,EP,MICU3,EP_F4,EP,EP,4,4594.455078125
P17275,EP,JUNB,EP_F1,EP,EP,1,231.23892211914063
P17275,EP,JUNB,EP_F3,EP,EP,3,936.62225341796875
P17275,EP,JUNB,EP_F4,EP,EP,4,2367.2734375
Q92581,EP,SLC9A6,EP_F1,EP,EP,1,4760.6201171875
Q92581,EP,SLC9A6,EP_F2,EP,EP,2,2907.02685546875
Q9UKI8,EP,TLK1,EP_F3,EP,EP,3,10275.1455078125
Q9NW07,EP,ZNF358,EP_F4,EP,EP,4,1354.077392578125
Q9NW07,EP,ZNF358,EP_F1,EP,EP,1,5187.1962890625
Q9NW07,EP,ZNF358,EP_F2,EP,EP,2,5011.365234375
Q9NW07,EP,ZNF358,EP_F3,EP,EP,3,2498.694580078125
P51809,EP,VAMP7,EP_F2,EP,EP,2,16470.79296875
P51809,EP,VAMP7,EP_F3,EP,EP,3,8495.22265625
P51809,EP,VAMP7,EP_F4,EP,EP,4,3305.46630859375
Q8ND04,EP,SMG8,EP_F3,EP,EP,3,17807.14453125
Q9UDX5,EP,MTFP1,EP_F1,EP,EP,1,5568.6728515625
Q9UDX5,EP,MTFP1,EP_F2,EP,EP,2,2478.92333984375
Q9UDX5,EP,MTFP1,EP_F4,EP,EP,4,5842.029296875
Q9BQA9,EP,CYBC1,EP_F1,EP,EP,1,3831.49609375
Q9BQA9,EP,CYBC1,EP_F4,EP,EP,4,8535.9990234375
Q9H4B0,EP,OSGEPL1,EP_F1,EP,EP,1,1149.935546875
Q9H4B0,EP,OSGEPL1,EP_F2,EP,EP,2,1592.9237060546875
Q9H4B0,EP,OSGEPL1,EP_F3,EP,EP,3,2260.238525390625
Q7Z3U7,EP,MON2,EP_F1,EP,EP,1,1762.7501220703125
Q7Z3U7,EP,MON2,EP_F3,EP,EP,3,2952.26904296875
Q7Z3U7,EP,MON2,EP_F4,EP,EP,4,3150.8369140625
Q7Z3U7,EP,MON2,EP_F2,EP,EP,2,1641.0045166015625
Q9Y6Q1,EP,CAPN6,EP_F2,EP,EP,2,9559.958984375
Q32M88,EP,PGGHG,EP_F2,EP,EP,2,3525.008056640625
Q32M88,EP,PGGHG,EP_F3,EP,EP,3,4225.615234375
Q9BY49,EP,PECR,EP_F1,EP,EP,1,6267.40185546875
Q9BY49,EP,PECR,EP_F3,EP,EP,3,4220.1611328125
Q9BY49,EP,PECR,EP_F4,EP,EP,4,3943.5400390625
Q9BY49,EP,PECR,EP_F2,EP,EP,2,4992.12158203125
Q9H6E5,EP,TUT1,EP_F4,EP,EP,4,2693.65625
Q9HB90,EP,RRAGC,EP_F1,EP,EP,1,14552.80078125
Q9HB90,EP,RRAGC,EP_F2,EP,EP,2,18391.658203125
Q9HB90,EP,RRAGC,EP_F4,EP,EP,4,33953.9921875
Q9HB90,EP,RRAGC,EP_F3,EP,EP,3,27699.875
Q9BZC7,EP,ABCA2,EP_F3,EP,EP,3,4069.177001953125
Q9H981,EP,ACTR8,EP_F2,EP,EP,2,8027.16748046875
Q9H981,EP,ACTR8,EP_F3,EP,EP,3,1728.3641357421875
Q9NRG7,EP,SDR39U1,EP_F1,EP,EP,1,4075.576171875
Q9NRG7,EP,SDR39U1,EP_F3,EP,EP,3,10669.25390625
Q9NRG7,EP,SDR39U1,EP_F4,EP,EP,4,6431.3427734375
Q9NRG7,EP,SDR39U1,EP_F2,EP,EP,2,3378.589599609375
O75312,EP,ZPR1,EP_F2,EP,EP,2,3422.9208984375
O75312,EP,ZPR1,EP_F3,EP,EP,3,4691.40283203125
Q9UG01,EP,IFT172,EP_F4,EP,EP,4,3501.8408203125
Q9UG01,EP,IFT172,EP_F3,EP,EP,3,6313.2939453125
Q8IY95,EP,TMEM192,EP_F1,EP,EP,1,2958.0458984375
A4D126,EP,CRPPA,EP_F1,EP,EP,1,9190.916015625
A4D126,EP,CRPPA,EP_F3,EP,EP,3,9959.4765625
Q5VT25,EP,CDC42BPA,EP_F1,EP,EP,1,6023.123046875
Q5VT25,EP,CDC42BPA,EP_F2,EP,EP,2,3248.21728515625
Q5VT25,EP,CDC42BPA,EP_F3,EP,EP,3,3684.436767578125
Q5VT25,EP,CDC42BPA,EP_F4,EP,EP,4,3781.11865234375
Q6XQN6,EP,NAPRT,EP_F2,EP,EP,2,116219.0859375
Q5JTW2,EP,CEP78,EP_F3,EP,EP,3,2950.68359375
Q5JTW2,EP,CEP78,EP_F4,EP,EP,4,1168.5882568359375
O95347,EP,SMC2,EP_F2,EP,EP,2,6889.7109375
O95347,EP,SMC2,EP_F4,EP,EP,4,3675.3837890625
Q8TAM2,EP,TTC8,EP_F1,EP,EP,1,4008.159912109375
Q9H6Y7,EP,RNF167,EP_F1,EP,EP,1,6248.6611328125
Q9H6Y7,EP,RNF167,EP_F2,EP,EP,2,3769.51953125
Q9H6Y7,EP,RNF167,EP_F4,EP,EP,4,5777.71533203125
O94927,EP,HAUS5,EP_F2,EP,EP,2,3326.71533203125
Q9Y485,EP,DMXL1,EP_F1,EP,EP,1,3365.76513671875
Q9Y485,EP,DMXL1,EP_F2,EP,EP,2,4917.6474609375
Q9Y485,EP,DMXL1,EP_F3,EP,EP,3,3460.119873046875
Q969I3,EP,GLYATL1,EP_F1,EP,EP,1,5701.55419921875
Q969I3,EP,GLYATL1,EP_F2,EP,EP,2,1915.46875
Q6IAN0,EP,DHRS7B,EP_F3,EP,EP,3,7063.966796875
Q6IAN0,EP,DHRS7B,EP_F4,EP,EP,4,6896.98388671875
Q6IAN0,EP,DHRS7B,EP_F2,EP,EP,2,9731.7294921875
Q6IAN0,EP,DHRS7B,EP_F1,EP,EP,1,3176.16650390625
Q5THJ4,EP,VPS13D,EP_F2,EP,EP,2,3990.572509765625
Q5THJ4,EP,VPS13D,EP_F3,EP,EP,3,5852.052734375
Q5THJ4,EP,VPS13D,EP_F1,EP,EP,1,4097.73046875
Q5THJ4,EP,VPS13D,EP_F4,EP,EP,4,4975.4462890625
Q9Y234,EP,LIPT1,EP_F4,EP,EP,4,859.95074462890625
Q96S97,EP,MYADM,EP_F2,EP,EP,2,2835.6806640625
Q96S97,EP,MYADM,EP_F3,EP,EP,3,4141.46240234375
O00746,EP,NME4,EP_F3,EP,EP,3,2328.12255859375
O00746,EP,NME4,EP_F2,EP,EP,2,6536.126953125
P40967,EP,PMEL,EP_F1,EP,EP,1,21809.951171875
P40967,EP,PMEL,EP_F2,EP,EP,2,26147.0859375
P40967,EP,PMEL,EP_F3,EP,EP,3,22342.79296875
P40967,EP,PMEL,EP_F4,EP,EP,4,16992.58984375
Q15031,EP,LARS2,EP_F1,EP,EP,1,1983.004638671875
Q15031,EP,LARS2,EP_F3,EP,EP,3,31251.287109375
Q15031,EP,LARS2,EP_F4,EP,EP,4,11189.8095703125
Q15031,EP,LARS2,EP_F2,EP,EP,2,11142.009765625
Q96G21,EP,IMP4,EP_F4,EP,EP,4,638.75286865234375
O43307,EP,ARHGEF9,EP_F3,EP,EP,3,5503.2607421875
O43307,EP,ARHGEF9,EP_F4,EP,EP,4,1499.930908203125
O43307,EP,ARHGEF9,EP_F2,EP,EP,2,12505.388671875
Q969Z3,EP,MTARC2,EP_F4,EP,EP,4,5822.80517578125
P53778,EP,MAPK12,EP_F3,EP,EP,3,9231.6142578125
P05129,EP,PRKCG,EP_F2,EP,EP,2,8830.501953125
P05129,EP,PRKCG,EP_F4,EP,EP,4,2327.459228515625
P05129,EP,PRKCG,EP_F3,EP,EP,3,2068.383056640625
Q86TA1,EP,MOB3B,EP_F3,EP,EP,3,4435.7958984375
Q86TA1,EP,MOB3B,EP_F4,EP,EP,4,997.60699462890625
Q96CN4,EP,EVI5L,EP_F1,EP,EP,1,13946.0595703125
Q9UDR5,EP,AASS,EP_F4,EP,EP,4,5746.35009765625
